,SIT_MATRICULA,RENDA_FAMILIAR,TIPO_ESCOLA_ORIGEM,ANO_CONCLUSAO_2_GRAU,COD_ESTADO_CIVIL,N_FILHOS,SEXO,PROFISSAO,DESC_CIDADE,NIVEL_FALA,NIVEL_COMPREENSAO,NIVEL_ESCRITA,NIVEL_LEITURA,NOTAS,N_FALTAS,ANO_INGRESSO,IDADE_INGRESSO,APROVACAO
80,1,0.0,2,2008,0,1,1,1,0,1,1,1,1,0.0,0,2014,1,0
81,1,0.0,2,2008,0,1,1,1,0,1,1,1,1,0.0,2,2014,1,0
82,0,0.0,6,2011,0,0,1,0,0,1,1,1,1,7.0,0,2014,1,1
83,1,0.0,1,2013,0,0,1,0,1,0,0,0,0,7.0,0,2014,0,1
84,1,0.0,1,2013,0,0,1,0,0,1,1,1,1,7.0,0,2015,0,1
85,1,0.0,6,2013,0,0,1,1,0,0,0,0,0,6.0,0,2014,0,1
86,1,4.0,1,2012,0,0,1,0,0,0,0,0,0,0.0,66,2014,0,0
87,0,4.0,6,2013,0,0,1,0,1,0,0,0,0,10.0,0,2014,0,1
88,1,4.0,1,2012,0,0,1,0,0,0,0,0,0,0.0,0,2014,0,0
89,1,0.0,6,2007,0,0,1,0,0,1,1,1,1,6.0,0,2014,1,1
90,1,0.0,1,2013,0,0,1,0,0,1,1,1,1,0.0,70,2014,0,0
91,1,0.0,1,2013,0,0,1,0,0,1,1,1,1,0.0,70,2014,0,0
92,0,0.0,4,2013,0,0,1,0,0,0,0,0,0,7.0,0,2014,0,1
93,0,0.0,1,2013,0,0,1,0,0,0,0,0,0,10.0,0,2014,0,1
94,1,0.0,6,2012,0,0,1,0,0,0,0,0,0,0.0,70,2014,0,0
95,0,0.0,6,2012,0,0,1,0,0,1,1,1,1,0.0,0,2014,0,0
96,0,0.0,6,2012,0,0,1,0,0,1,1,1,1,6.0,0,2014,0,1
97,1,0.0,1,2013,0,0,1,0,1,0,0,0,0,0.0,66,2014,1,0
98,1,0.0,6,2013,0,0,1,0,0,1,1,1,1,6.0,0,2014,0,1
99,1,0.0,6,2012,0,0,1,0,1,0,0,0,0,6.0,0,2013,0,1
100,0,0.0,1,2008,0,0,1,0,1,1,1,1,1,6.0,0,2013,1,1
101,1,0.0,6,2012,0,0,1,0,0,1,1,1,1,6.0,0,2013,0,1
102,1,0.0,6,2012,0,0,1,0,0,1,1,1,1,6.0,0,2013,0,1
103,0,0.0,6,2012,0,0,1,0,0,0,0,0,0,6.0,0,2013,0,1
104,1,0.0,1,2002,0,0,0,1,0,0,0,0,0,6.0,0,2013,1,1
105,0,0.0,6,2012,0,0,1,0,0,0,0,0,0,6.0,0,2013,0,1
106,1,0.0,1,2012,0,0,1,0,1,0,0,0,0,6.0,0,2013,0,1
107,1,0.0,1,2011,0,0,1,0,0,0,0,0,0,0.0,70,2013,0,0
108,1,0.0,1,2011,0,0,1,0,0,0,0,0,0,0.0,0,2013,0,0
109,1,0.0,1,2011,0,0,1,0,0,0,0,0,0,0.0,0,2013,0,0
110,1,0.0,1,2010,0,0,1,1,0,0,0,0,0,6.0,0,2013,1,1
111,0,0.0,1,2012,0,0,1,0,0,1,1,1,1,6.0,0,2013,0,1
112,0,0.0,1,2012,0,0,1,0,0,1,1,1,1,6.0,0,2013,0,1
113,0,0.0,6,2013,0,0,1,0,0,1,1,1,1,0.0,56,2013,1,0
114,0,0.0,6,2013,0,0,1,0,0,1,1,1,1,0.0,56,2013,1,0
115,0,0.0,6,2013,0,0,1,0,0,1,1,1,1,0.0,22,2013,1,0
116,0,0.0,6,2013,0,0,1,0,0,1,1,1,1,0.0,22,2013,1,0
117,0,0.0,6,2013,0,0,1,0,0,1,1,1,1,0.0,0,2013,1,0
118,0,0.0,6,2013,0,0,1,0,0,1,1,1,1,0.0,0,2013,1,0
119,0,0.0,1,2004,0,0,1,0,0,0,0,0,0,6.0,0,2013,1,1
121,1,0.0,1,2013,0,0,1,0,0,0,0,0,0,0.0,0,2013,0,0
122,1,0.0,1,2013,0,0,1,0,0,0,0,0,0,0.0,0,2013,0,0
123,0,0.0,1,2001,0,0,1,1,0,1,1,1,1,6.0,0,2013,2,1
124,0,4.0,6,2007,0,0,0,0,0,1,1,1,1,6.5,0,2013,1,1
125,0,4.0,6,2007,0,0,0,0,0,1,1,1,1,6.5,0,2013,1,1
126,1,0.0,6,2010,0,0,1,0,0,1,1,1,1,7.5,0,2013,1,1
127,1,0.0,6,2010,0,0,1,0,0,1,1,1,1,7.5,0,2013,1,1
128,0,0.0,1,2006,0,0,1,1,0,0,0,0,0,6.0,0,2013,1,1
132,1,4.0,2,1992,0,0,1,1,0,0,0,0,0,7.0,0,2013,3,1
133,0,3.0,1,2012,0,0,1,1,1,0,0,0,0,6.0,0,2013,0,1
134,1,4.0,1,2012,0,0,0,0,1,0,0,0,0,0.0,0,2013,0,0
135,0,4.0,1,2010,0,0,1,0,0,1,1,1,1,9.5,0,2013,0,1
136,0,4.0,1,2010,0,0,1,0,0,1,1,1,1,9.5,0,2013,0,1
137,1,0.0,6,2012,0,0,0,1,0,1,1,1,1,7.7,0,2013,0,1
138,1,0.0,1,2011,0,0,0,0,0,0,0,0,0,7.5,0,2013,0,1
139,0,0.0,1,2012,0,0,1,0,0,0,0,0,0,0.0,64,2013,0,0
140,0,0.0,1,2012,0,0,1,0,0,0,0,0,0,6.0,0,2013,0,1
141,1,0.0,6,2012,0,0,1,0,0,0,0,0,0,6.0,0,2013,0,1
142,1,0.0,6,2012,0,0,1,1,0,1,1,1,1,7.0,0,2013,0,1
143,0,4.0,6,2012,0,0,0,0,1,1,1,1,1,6.5,0,2013,0,1
144,0,4.0,6,2012,0,0,0,0,1,1,1,1,1,6.5,0,2013,0,1
145,1,0.0,1,2012,0,0,1,1,0,1,1,1,1,6.0,0,2013,0,1
146,1,0.0,1,2012,0,0,1,1,0,1,1,1,1,6.0,0,2013,0,1
147,0,4.0,1,2008,0,0,0,1,1,1,1,1,1,6.2,0,2013,1,1
148,0,0.0,1,2012,0,0,1,0,0,0,0,0,0,7.2,0,2013,0,1
149,1,4.0,6,2012,0,0,0,1,0,0,0,0,0,7.2,0,2013,0,1
150,1,4.0,1,2012,0,0,1,0,0,1,1,1,1,6.0,0,2014,0,1
151,0,0.0,6,2012,0,0,1,0,1,1,1,1,1,6.0,2,2013,0,1
152,1,0.0,1,2012,0,0,0,0,1,1,1,1,1,9.5,0,2013,0,1
153,1,6.0,6,2004,0,0,1,1,0,0,0,0,0,5.0,0,2013,1,0
154,1,6.0,6,2004,0,0,1,1,0,0,0,0,0,6.0,0,2013,1,1
155,0,0.0,1,2011,0,0,1,0,0,1,1,1,1,6.7,0,2013,0,1
156,1,0.0,2,2004,1,0,1,0,0,0,0,0,0,6.2,0,2013,1,1
157,1,0.0,6,2011,0,0,1,1,0,1,1,1,1,5.7,0,2013,0,0
158,0,0.0,1,2012,0,0,1,0,0,0,0,0,0,6.0,0,2013,0,1
159,0,0.0,1,2011,0,0,1,0,1,1,1,1,1,6.6,0,2013,1,1
160,1,0.0,1,2010,0,0,1,0,0,0,0,0,0,0.0,0,2013,1,0
161,1,0.0,4,2012,0,0,1,0,0,1,1,1,1,6.5,0,2013,0,1
162,1,0.0,1,2012,0,0,0,0,0,1,1,1,1,6.7,0,2013,0,1
163,0,0.0,6,2012,0,0,1,0,0,0,0,0,0,9.5,0,2013,0,1
164,0,0.0,1,2011,0,0,1,1,0,1,1,1,1,6.7,0,2013,0,1
165,1,3.0,1,2012,0,0,1,1,0,0,0,0,0,9.5,0,2013,0,1
166,1,0.0,1,2009,0,0,1,0,0,0,0,0,0,6.0,0,2013,1,1
167,1,0.0,1,2009,0,0,1,0,0,0,0,0,0,4.2,0,2013,1,0
168,0,4.0,6,1997,1,0,1,0,0,0,0,0,0,7.3,0,2013,2,1
169,0,4.0,1,2010,0,0,1,0,0,1,1,1,1,5.6,0,2013,1,0
170,0,4.0,6,2007,0,0,1,1,0,1,1,1,1,5.3,0,2013,1,0
171,0,4.0,6,2009,0,0,1,0,0,1,1,1,1,5.3,0,2013,1,0
172,1,5.0,1,2004,0,0,1,1,0,0,0,0,0,5.8,0,2013,1,0
173,0,4.0,1,2010,0,0,1,1,0,0,0,0,0,5.4,0,2013,1,0
174,0,4.0,6,2009,0,0,1,0,0,0,0,0,0,5.0,0,2013,3,0
175,1,5.0,6,2011,0,0,1,1,0,0,0,0,0,6.7,0,2013,1,1
176,0,5.0,6,2001,1,0,1,1,1,1,1,1,1,5.0,0,2013,1,0
177,1,4.0,1,1995,1,2,1,1,0,0,0,0,0,10.0,0,2013,2,1
178,1,4.0,6,1999,0,0,1,0,1,0,0,0,0,6.0,0,2013,2,1
180,0,4.0,1,2012,0,0,0,0,1,0,0,0,0,7.7,0,2013,0,1
181,0,0.0,6,2012,0,0,1,1,0,1,1,1,1,7.5,0,2014,1,1
182,0,4.0,6,2012,0,0,1,0,0,0,0,0,0,10.0,0,2013,0,1
183,0,0.0,1,2009,0,0,1,0,0,1,1,1,1,6.5,0,2013,1,1
184,1,1.0,1,2011,0,0,1,0,0,0,0,0,0,9.7,0,2013,0,1
185,1,4.0,6,1986,0,0,0,1,0,0,0,0,0,0.0,2,2013,2,0
186,1,4.0,6,1986,0,0,0,1,0,0,0,0,0,0.0,26,2013,2,0
187,1,4.0,6,1986,0,0,0,1,0,0,0,0,0,0.0,0,2013,2,0
188,1,4.0,6,1986,0,0,0,1,0,0,0,0,0,0.0,0,2013,2,0
189,0,4.0,6,2011,0,0,0,1,0,0,0,0,0,7.0,0,2013,0,1
190,0,0.0,6,2011,0,0,1,0,1,0,0,0,0,0.0,10,2012,0,0
191,0,0.0,6,2011,0,0,1,0,1,0,0,0,0,7.2,0,2012,0,1
192,0,4.0,6,2011,0,0,0,0,0,0,0,0,0,6.0,0,2012,0,1
193,0,4.0,1,2010,0,0,0,0,0,1,1,1,1,6.0,0,2012,1,1
194,0,4.0,1,2010,0,0,0,0,0,1,1,1,1,6.0,0,2012,1,1
195,0,4.0,1,2010,0,0,0,0,0,1,1,1,1,2.6,0,2012,1,0
196,0,4.0,1,2010,0,0,0,0,0,1,1,1,1,2.6,0,2012,1,0
197,0,0.0,1,2004,1,3,1,1,0,0,0,0,0,6.0,0,2015,2,1
198,0,0.0,6,2012,0,0,0,0,1,0,0,0,0,8.5,0,2012,0,1
199,0,0.0,6,2011,0,0,1,1,1,1,1,1,1,9.0,0,2012,0,1
200,1,0.0,6,2012,0,0,1,0,0,0,0,0,0,0.0,2,2012,0,0
201,1,0.0,6,2012,0,0,1,0,0,0,0,0,0,0.0,70,2012,0,0
203,0,0.0,1,2011,0,0,0,0,1,1,1,1,1,7.0,0,2012,0,1
204,1,0.0,6,2011,0,0,1,0,0,1,1,1,1,6.0,0,2012,0,1
205,1,0.0,6,2009,0,0,0,0,0,0,0,0,0,1.0,0,2012,1,0
206,0,0.0,6,2012,0,0,1,0,0,0,0,0,0,6.0,0,2012,0,1
207,1,4.0,6,2009,0,0,1,0,1,0,0,0,0,5.9,0,2012,1,0
208,1,4.0,6,2007,0,0,0,1,0,1,1,1,1,5.5,0,2012,1,0
209,1,4.0,1,2010,0,0,1,0,0,0,0,0,0,0.0,26,2012,0,0
213,1,4.0,1,2010,0,0,1,0,0,0,0,0,0,1.5,0,2012,0,0
214,1,4.0,6,2010,0,0,1,1,0,0,0,0,0,0.0,20,2012,0,0
215,1,4.0,6,2010,0,0,1,1,0,0,0,0,0,0.0,64,2012,0,0
217,1,0.0,6,2012,0,0,1,1,1,1,1,1,1,7.5,0,2012,0,1
219,0,0.0,1,2009,0,0,1,1,1,0,0,0,0,0.0,70,2016,1,0
220,1,4.0,2,2011,0,0,1,0,0,0,0,0,0,0.0,0,2014,1,0
222,0,3.0,6,2003,0,0,1,1,1,1,1,1,1,6.5,0,2012,1,1
223,0,0.0,2,2011,0,0,1,1,1,1,1,1,1,6.0,0,2012,0,1
224,0,4.0,6,2004,1,0,1,0,0,0,0,0,0,6.0,0,2012,1,1
225,0,4.0,1,2007,0,0,0,0,0,0,0,0,0,7.5,0,2012,1,1
226,1,0.0,6,2011,0,0,1,0,0,1,1,1,1,10.0,0,2012,0,1
227,0,0.0,6,2011,0,0,1,0,0,0,0,0,0,6.9,0,2013,1,1
228,0,0.0,6,2011,0,0,1,0,1,0,0,0,0,6.6,0,2012,0,1
229,1,4.0,6,2004,0,0,1,1,1,1,1,1,1,7.8,0,2012,1,1
230,1,4.0,6,2004,0,0,1,1,1,1,1,1,1,7.8,0,2012,1,1
231,0,0.0,6,2008,0,0,1,1,0,1,1,1,1,7.2,0,2012,1,1
232,0,4.0,2,2001,0,0,1,0,1,0,0,0,0,0.0,66,2012,1,0
233,0,4.0,2,2001,0,0,1,0,1,0,0,0,0,6.3,0,2012,1,1
234,0,4.0,6,2004,0,0,1,0,0,1,1,1,1,6.0,0,2012,1,1
235,1,0.0,1,2009,0,0,1,0,0,1,1,1,1,7.5,0,2014,1,1
236,0,4.0,6,2010,0,0,1,0,0,0,0,0,0,6.9,0,2012,1,1
237,0,0.0,1,2011,0,0,1,0,0,1,1,1,1,7.0,0,2012,0,1
238,0,0.0,1,2012,0,0,1,1,0,1,1,1,1,6.7,0,2015,1,1
239,1,0.0,1,2011,0,0,1,0,0,0,0,0,0,0.0,22,2012,0,0
240,1,0.0,1,2011,0,0,1,0,0,0,0,0,0,0.0,6,2013,0,0
241,1,0.0,2,2007,0,0,0,0,1,0,0,0,0,5.0,0,2012,1,0
243,0,0.0,6,2009,0,0,1,0,0,1,1,1,1,7.5,0,2012,0,1
244,0,0.0,1,2011,0,0,1,1,1,0,0,0,0,6.3,0,2012,0,1
245,0,0.0,6,2011,0,0,1,0,0,0,0,0,0,6.0,0,2012,0,1
246,0,3.0,6,2008,0,0,0,1,0,0,0,0,0,6.5,0,2012,1,1
247,0,0.0,1,2011,0,0,1,1,0,0,0,0,0,6.0,0,2012,0,1
248,0,0.0,6,2005,0,0,1,0,0,0,0,0,0,6.5,0,2012,1,1
249,0,4.0,6,2010,0,0,1,1,1,1,1,1,1,6.7,0,2015,1,1
250,1,0.0,6,2010,0,0,1,0,0,0,0,0,0,6.0,0,2012,1,1
251,1,0.0,1,2005,0,0,1,0,1,0,0,0,0,6.8,0,2012,1,1
252,0,2.0,1,2007,0,0,0,0,0,1,1,1,1,6.0,0,2012,1,1
253,1,0.0,6,2011,0,0,1,0,0,0,0,0,0,6.0,0,2012,0,1
254,1,0.0,6,2011,0,0,1,0,1,0,0,0,0,6.0,0,2012,0,1
255,1,0.0,2,2005,0,0,1,1,1,0,0,0,0,5.9,0,2012,1,0
256,0,0.0,6,2011,0,0,0,1,0,0,0,0,0,6.7,0,2012,0,1
257,1,0.0,6,2011,0,0,1,0,0,0,0,0,0,6.0,0,2012,0,1
258,0,0.0,1,2008,0,0,1,1,1,0,0,0,0,6.7,0,2012,1,1
259,0,0.0,6,2006,0,0,1,1,1,1,1,1,1,6.0,0,2012,1,1
260,0,0.0,6,2006,0,0,1,1,1,1,1,1,1,6.0,0,2012,1,1
261,0,0.0,1,2011,0,0,0,0,1,0,0,0,0,7.3,0,2012,0,1
262,1,0.0,6,2011,0,0,1,0,1,0,0,0,0,4.5,0,2012,0,0
263,0,0.0,1,2010,0,0,1,1,1,0,0,0,0,6.0,0,2012,1,1
264,0,0.0,1,2011,0,0,1,0,1,0,0,0,0,6.0,0,2012,0,1
265,1,3.0,1,2010,0,0,1,1,0,0,0,0,0,6.0,0,2013,1,1
266,1,3.0,1,2003,0,2,1,1,1,0,0,0,0,6.0,0,2012,2,1
268,1,4.0,6,2007,0,1,1,1,0,1,1,1,1,0.0,0,2012,2,0
269,1,4.0,6,2007,0,1,1,1,0,1,1,1,1,0.0,70,2012,2,0
270,1,4.0,6,2007,0,1,1,1,0,1,1,1,1,0.0,56,2012,2,0
271,1,6.0,2,2007,1,0,1,1,0,1,1,1,1,0.0,22,2012,2,0
273,1,4.0,6,2009,0,0,1,0,0,1,1,1,1,0.0,0,2012,1,0
274,0,4.0,1,2008,0,0,1,1,0,1,1,1,1,7.4,0,2012,1,1
275,1,4.0,6,2001,0,0,1,0,0,0,0,0,0,6.7,0,2012,1,1
276,0,4.0,6,2005,0,0,1,1,1,1,1,1,1,9.6,0,2012,1,1
277,0,4.0,6,2009,0,0,1,1,0,0,0,0,0,6.2,0,2012,1,1
278,0,4.0,1,2010,0,0,0,0,0,1,1,1,1,7.0,0,2012,1,1
279,0,4.0,1,2010,0,0,0,0,0,1,1,1,1,7.0,0,2012,1,1
280,0,4.0,2,2011,0,0,1,1,1,0,0,0,0,0.0,70,2015,0,0
281,0,4.0,6,2011,0,0,1,0,0,0,0,0,0,6.6,0,2012,0,1
282,1,4.0,1,2000,1,0,1,0,0,0,0,0,0,6.0,0,2012,2,1
283,1,4.0,1,2011,0,0,0,1,1,0,0,0,0,1.5,0,2012,0,0
284,1,4.0,1,2011,0,0,0,1,1,0,0,0,0,6.0,0,2012,0,1
285,1,3.0,1,2011,0,0,1,1,1,1,1,1,1,6.0,0,2012,0,1
286,1,3.0,1,2011,0,0,1,1,1,1,1,1,1,6.0,0,2012,0,1
287,1,4.0,6,2011,0,0,1,1,0,1,1,1,1,6.0,0,2012,0,1
288,0,4.0,6,2011,0,0,1,1,0,0,0,0,0,7.2,0,2013,0,1
289,0,0.0,5,2015,0,0,1,0,0,0,0,0,0,0.0,70,2016,0,0
